Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2021,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,4","0,0","0,0","0,7","0,0","0,0","0,0","0,7","0,6","0,0","0,0","1,0","0,0","2,6","0,0","1,8","0,0","17,0","11,0","0,0",-,-,"1916,3"
309,Araçoiaba (Granja Cristo Redentor),jan/2021,"3,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,1","0,0","0,0","0,0","0,0","0,0","0,0","1,6","2,5","1,2","0,0","0,0","0,0","0,0","2,3","0,0","14,9","0,0","0,0","0,0","0,0","1253,3"
301,Cabo,jan/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
490,Cabo (Barragem de Gurjaú),jan/2021,"22,3","0,0","0,0","1,3","0,3","0,0","0,0","6,2","0,0","0,0","0,0","3,0","0,0","3,9","3,3","0,0","0,0","0,1","1,9","4,6","8,2","1,3","0,0","4,3","3,2","1,1","18,1","10,5","0,0","0,0","0,0","2461,4"
491,Cabo (Barragem de Suape),jan/2021,"4,8","0,0","0,0","0,0","0,0","0,4","0,0","0,0","0,0","2,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5","0,3","0,0","4,6","0,0","0,0","3,1","3,7","0,0","0,0","14,9","0,0","0,0","0,0","2506,3"
603,Cabo (Pirapama),jan/2021,"24,5","0,0","1,8","0,0","3,3","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","0,8","0,0","0,0","2,8","3,8","0,0","3,7","0,0","0,3","4,5","7,0","1,8","4,9","16,1","0,1","0,6","0,0","2482,0"
201,Camaragibe,jan/2021,"11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,8","0,8","0,4","0,9","0,2","0,0","0,2","0,0","13,0","1,5","7,2","1,4","3,2","1,0","0,5","0,9","6,9","4,7","0,0","0,0","0,0","2090,4"
28,Goiana (Itapirema - IPA),jan/2021,"0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,0","0,0","2,6","12,2","0,0","3,2","0,0","0,0","0,0","0,0","0,0","2,4","0,2","2,0","0,0","0,0","0,2","1,8","0,0","5,4","3,8","0,0","0,0","0,0","1161,9"
487,Goiana - PCD,jan/2021,"0,2","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,4","8,2","0,0","0,8","7,0","0,0","0,0","0,6","0,0","0,2","0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,4","0,6","0,0","0,0","0,0","576,6"
100,Igarassu,jan/2021,"0,0","0,0","0,5","0,0","6,1","0,0","0,0","0,0","0,1","0,0","1,5","0,0","0,0","1,1","0,0","0,0","1,4","0,0","0,7","8,0","0,9","2,0","0,4","0,0","0,0","0,3","3,2","16,0","0,0","0,0","0,0","1816,3"
