Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","17,5","0,0","2,8","0,0","0,0","0,0","9,8","3,2","1,1","17,6","5,1","9,4","4,3","0,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","1398,8"
309,Araçoiaba (Granja Cristo Redentor),jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,2","18,5","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,0","33,4","28,1","9,2","3,3","8,7","0,6","0,0","0,0","0,0","0,0","0,0","6,7","0,0","1239,9"
301,Cabo,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,0","31,2","2,8","19,5","0,0","2,7","0,0","6,5","7,8","31,1","11,1","4,4","3,0","10,9","13,2","0,0","0,6","0,6","0,0","0,0","0,0","30,8","0,0","1599,1"
490,Cabo (Barragem de Gurjaú),jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","33,0","8,4","13,2","0,0","1,6","0,0","0,0","3,8","6,2","6,5","25,6","0,1","28,2","9,2","0,4","0,0","0,0","0,0","0,0","0,0","32,2","0,0","1692,4"
491,Cabo (Barragem de Suape),jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,8","41,6","7,1","13,8","0,0","0,0","0,0","0,6","11,7","0,0","1,8","0,5","1,5","10,2","11,8","0,0","0,0","0,0","0,0","0,0","0,0","25,3","0,0","1295,0"
603,Cabo (Pirapama),jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,0","18,0","3,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1415,3"
201,Camaragibe,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,0","11,0","8,0","6,5","0,0","0,2","1,5","0,0","0,2","1,2","31,0","13,5","3,1","4,8","3,5","0,8","0,0","0,0","0,0","0,0","0,0","25,0","1,5","1644,8"
28,Goiana (Itapirema - IPA),jan/2016,"0,3","0,0","0,0","1,1","0,0","0,0","0,0","0,4","18,3","5,6","2,3","0,3","0,0","0,6","6,5","2,4","0,0","6,0","79,8","6,5","2,2","0,8","0,0","0,0","0,3","0,0","0,0","0,0","0,0","2,3","0,0","1539,9"
487,Goiana - PCD,jan/2016,"0,6","0,0","0,0","1,2","0,0","0,0","0,0","0,2","13,6","12,4","2,0","0,0","0,0","0,0","6,4","1,2","0,0","8,2","79,6","6,8","2,2","0,8","2,2","0,2","0,2","0,2","0,0","0,0","0,0","5,8","0,0","1539,8"
100,Igarassu,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,5","40,1","1,6","3,0","0,0","0,0","2,4","1,4","1,1","4,0","28,4","5,7","4,5","6,0","0,0","2,3","0,4","0,0","0,0","0,0","0,0","0,0","0,0","1303,2"
269,Igarassu (Bar.Catucá),jan/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1144,1"
294,Igarassu (Usina São José),jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","1,0","4,0","31,5","0,8","1,2","0,0","0,0","0,0","0,0","0,0","2,0","32,1","49,6","53,2","6,4","9,5","2,2","0,0","7,0","0,0","0,0","0,0","0,0","22,0","0,0","1446,1"
387,Ipojuca,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,9","42,0","3,2","9,4","0,0","0,1","0,0","12,0","0,0","1,2","3,0","11,2","8,4","7,2","11,0","0,0","0,0","0,0","0,0","1,4","0,0","16,8","0,0","1478,3"
602,Ipojuca (Suape) - PCD,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","32,4","4,6","0,0","10,4","0,0","0,0","0,0","0,0","21,8","0,0","2,8","1,6","1,2","12,2","0,4","0,0","0,0","0,0","0,0","0,8","0,0","34,8","0,0","1170,6"
524,Itamaracá,jan/2016,"0,0","3,9","1,4","0,0","0,0","0,0","0,0","0,0","0,0","14,7","0,0","5,4","0,0","0,0","0,0","0,0","0,0","0,4","9,5","0,0","3,8","2,3","3,5","2,0","0,0","0,0","0,0","0,0","0,0","18,0","0,3","1573,7"
520,Itapissuma,jan/2016,"0,0","2,5","0,0","0,0","0,0","0,0","0,0","0,0","28,7","0,0","0,0","3,9","0,0","0,0","0,0","0,0","0,0","4,2","32,1","9,0","0,7","1,7","12,3","0,0","6,2","0,0","0,0","0,0","0,0","19,7","0,7","1566,3"
604,Jaboatão (Cidade da Copa) - PCD,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,8","18,0","0,0","3,0","0,0","0,0","0,0","12,4","2,4","6,8","22,8","11,8","10,0","11,4","3,6","0,0","0,0","7,0","0,0","0,0","0,0","14,8","0,0","1563,4"
202,Jaboatão dos Guararapes,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9","1,8","30,0","0,1","1,0","0,0","0,5","0,6","1,4","4,0","24,4","4,3","6,0","11,3","14,0","7,2","0,0","3,0","0,3","0,0","0,0","0,0","15,0","0,0","1417,8"
268,Jaboatão dos Guararapes (Bar.Duas Unas),jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,6","2,5","32,7","3,6","1,3","0,0","3,7","0,0","3,8","1,2","11,3","53,1","7,3","9,6","11,5","2,5","0,0","0,0","0,0","0,0","0,0","0,0","24,6","0,0","1307,0"
205,Moreno,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","30,0","5,0","1,5","0,0","2,0","0,0","3,0","1,0","9,0","48,0","6,0","5,5","9,0","3,5","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","1058,1"
199,Olinda,jan/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,5","32,2","0,8","6,8","0,0","0,0","1,5","2,8","3,1","2,5","10,1","1,6","3,5","3,2","1,6","0,0","0,8","1,1","0,0","0,0","0,0","35,5","0,9","1673,6"
