Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","18,6","0,0","0,0","0,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,5","0,0","0,0","1,3","18,2","0,0","0,0","0,8","0,0","1738,6"
309,Araçoiaba (Granja Cristo Redentor),jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,9","0,0","0,0","3,0","3,1","0,0","0,0","0,0","0,0","1218,5"
301,Cabo,jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4","2,6","4,2","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,2","0,0","0,0","0,0","0,0","1,6","0,2","0,0","0,0","1,2","0,0","6,5","0,6","0,2","2189,6"
490,Cabo (Barragem de Gurjaú),jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,1","7,7","0,0","0,0","0,0","0,0","1,3","0,0","0,0","1,2","0,0","0,0","0,0","0,0","0,9","0,0","0,0","0,3","2,3","0,0","3,7","2,8","1,9","2408,4"
491,Cabo (Barragem de Suape),jan/2017,"0,0","0,0","0,0","0,0","0,0","0,9","0,5","2,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,7","0,0","0,0","0,0","0,0","7,3","0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,7","2184,2"
603,Cabo (Pirapama),jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","2,5","0,0","0,0","0,0","1,5","0,0","0,2","0,0","0,0","0,1","0,0","0,0","0,0","0,1","0,3","0,0","0,0","0,2","0,0","4,2","6,1","3,4","2422,2"
201,Camaragibe,jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,1","3,0","0,0","0,0","0,0","0,0","8,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1994,9"
28,Goiana (Itapirema - IPA),jan/2017,"0,3","0,1","0,7","0,0","0,0","0,0","0,0","0,0","0,4","0,8","0,1","0,0","0,0","0,6","7,8","0,0","0,1","0,0","0,5","0,0","0,0","1,8","14,2","0,1","0,0","0,1","4,6","0,0","1,1","0,0","0,4","1391,3"
487,Goiana - PCD,jan/2017,"0,0","0,0","0,0","0,0","0,0","0,6","0,0","0,0","0,4","0,8","0,0","0,0","0,0","0,4","7,8","0,0","0,0","0,0","0,0","0,0","0,0","2,2","13,2","0,0","0,0","0,0","4,6","0,0","1,0","0,0","0,2","1439,4"
100,Igarassu,jan/2017,"0,0","0,0","0,0","0,0","0,0","0,0","2,7","0,5","1,5","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7","7,0","0,0","0,0","0,0","0,0","0,0","1524,5"
