Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","1,5","0,0","7,4","0,0","6,4","4,2","0,3","0,1","0,0","0,0","0,0","0,0","0,0","0,5","0,0","9,4","0,0","2,4","0,1","0,0","0,0","20,0","33,0","0,0","0,0","1975,4"
309,Araçoiaba (Granja Cristo Redentor),jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,6","115,6","0,0","2,1","0,7","5,5","0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,7","0,0","0,0","0,0","0,0","0,0","9,2","0,0","0,0","1586,2"
301,Cabo,jan/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
490,Cabo (Barragem de Gurjaú),jan/2019,"0,0","4,8","0,0","0,0","0,0","0,7","6,9","10,3","4,0","0,0","0,7","0,0","5,1","1,1","0,8","0,0","0,4","7,3","0,4","8,3","0,0","0,0","8,7","0,0","0,0","0,0","0,0","14,0","28,3","1,0","1,0","2011,9"
491,Cabo (Barragem de Suape),jan/2019,"2,1","6,8","0,0","0,0","0,0","0,0","23,0","9,5","0,3","0,0","2,4","13,5","13,0","2,8","0,0","0,0","0,8","5,7","0,0","1,4","0,0","1,8","2,5","0,0","0,8","0,0","0,0","4,4","18,0","0,0","0,0","1968,0"
603,Cabo (Pirapama),jan/2019,"1,5","3,7","0,0","0,0","0,0","0,0","4,9","31,6","5,9","0,0","3,0","0,2","23,5","3,7","0,0","0,0","0,8","3,4","1,5","4,7","0,0","0,0","8,6","0,0","0,0","0,0","0,0","0,5","41,3","0,0","0,0","2229,6"
201,Camaragibe,jan/2019,"3,0","2,0","0,0","0,0","0,0","0,0","1,2","12,8","4,4","0,0","2,4","5,5","8,5","6,2","0,0","0,0","0,0","0,0","1,5","4,2","1,3","0,0","4,4","0,0","0,0","0,0","0,0","2,0","37,4","0,0","0,0","2040,3"
28,Goiana (Itapirema - IPA),jan/2019,"0,0","2,0","0,0","0,0","0,0","0,0","0,0","9,1","0,1","0,3","0,2","2,8","0,2","1,5","0,0","0,0","0,0","1,9","1,9","5,1","0,0","0,5","1,9","0,0","0,0","0,1","13,2","4,2","7,5","0,0","0,4","2024,1"
487,Goiana - PCD,jan/2019,"0,0","2,6","0,0","0,0","0,0","0,0","2,6","6,4","0,0","0,4","2,0","2,0","0,0","1,4","0,0","0,0","0,0","1,8","2,2","4,8","0,0","0,4","1,8","0,0","0,0","0,0","13,4","4,2","8,2","0,0","0,0","451,8"
100,Igarassu,jan/2019,"0,0","0,7","0,0","0,0","0,0","0,0","3,7","2,2","0,9","3,3","4,9","1,4","32,5","0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,2","0,0","0,0","0,0","0,0","1,4","23,2","0,0","0,0","1992,5"
269,Igarassu (Bar.Catucá),jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","2,6","0,0","7,2","0,4","0,0","0,0","3,4","1,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,0","0,0","0,0","0,0","2,4","1,2","32,4","0,0","0,0","1646,7"
294,Igarassu (Usina São José),jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,7","6,7","1,8","2,0","2,8","2,5","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9","16,7","0,0","0,0","1690,8"
387,Ipojuca,jan/2019,"0,0","3,7","0,0","0,0","0,0","0,1","26,1","12,0","1,0","0,0","4,6","11,1","12,2","0,3","0,0","0,0","1,8","2,5","0,0","0,4","0,0","0,0","2,3","0,0","0,3","0,0","0,0","3,1","1,0","14,4","2,7","2252,2"
602,Ipojuca (Suape) - PCD,jan/2019,"0,0","1,0","0,0","0,0","0,0","0,0","2,4","21,4","5,0","0,0","0,8","0,2","0,8","0,6","0,6","0,4","0,4","0,4","0,2","0,2","0,0","0,0","0,2","0,2","0,0","0,0","0,0","2,2","0,8","0,6","1,2","1495,6"
524,Itamaracá,jan/2019,"0,0","0,2","0,0","0,0","0,0","0,0","0,7","0,2","0,0","15,0","0,8","0,0","0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,9","0,0","0,0","0,8","0,1","5,3","27,1","0,0","1,1","1664,7"
520,Itapissuma,jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","0,1","2,6","0,0","8,5","0,2","0,0","3,5","1,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","0,0","0,0","0,7","0,1","4,3","28,2","0,0","0,0","1583,9"
604,Jaboatão (Cidade da Copa) - PCD,jan/2019,"0,0","2,2","0,0","0,0","0,0","0,6","13,0","4,8","7,6","0,0","8,2","7,0","14,8","3,8","0,0","0,0","0,0","1,6","3,6","0,6","0,2","0,0","2,4","0,8","0,0","0,8","0,0","57,8","16,0","0,0","0,0","2206,8"
202,Jaboatão dos Guararapes,jan/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
268,Jaboatão dos Guararapes (Bar.Duas Unas),jan/2019,"0,0","1,1","0,0","0,0","0,0","0,5","12,9","13,7","6,3","0,4","0,9","1,5","38,1","4,1","0,0","0,0","0,0","1,5","0,0","0,4","0,0","0,0","1,4","0,0","0,0","0,0","3,3","0,0","67,4","0,0","0,0","2155,6"
205,Moreno,jan/2019,"0,0","0,5","0,0","0,0","0,0","0,0","8,7","7,8","6,1","0,7","1,1","1,0","39,1","4,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3","0,0","0,0","0,0","1,2","0,0","66,2","0,0","0,0","1881,7"
199,Olinda,jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","18,0","0,0","5,7","8,1","7,4","1,4","0,0","0,0","0,0","0,0","0,4","0,1","0,0","0,0","7,9","0,0","0,0","0,3","0,2","8,6","37,4","0,0","0,0","1908,3"
551,Olinda (Academia Santa Gertrudes),jan/2019,"0,0","0,0","0,2","0,0","0,0","0,0","1,3","1,6","9,6","0,0","5,9","8,2","6,8","0,2","0,0","0,0","0,0","0,0","0,0","0,0","1,4","0,0","7,3","0,0","0,0","0,7","0,0","4,3","55,6","0,0","0,2","1755,3"
209,Olinda (Alto da Bondade),jan/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
451,Paulista,jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","6,3","0,0","0,0","0,0","1,6","4,6","20,9","1,8","0,0","0,0","0,0","0,0","0,0","0,0","1,6","13,4","4,9","0,0","0,0","0,0","1,0","60,3","10,7","0,0","0,0","1883,9"
265,Recife (Alto da Brasileira),jan/2019,"0,0","1,0","0,0","0,0","0,0","0,0","9,1","9,8","12,8","1,9","1,3","2,0","20,0","0,6","0,0","0,0","0,0","2,6","0,0","0,0","0,0","0,0","13,5","0,0","0,0","0,0","0,0","1,3","0,0","0,0","0,0","1844,1"
196,Recife (Codecipe / Santo Amaro),jan/2019,"0,0","3,0","0,0","0,0","0,0","0,0","14,0","4,6","9,2","0,0","3,0","10,2","1,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","17,0","0,0","0,0","0,0","0,0","4,2","60,0","0,0","0,0","1875,9"
30,Recife (Várzea),jan/2019,"0,0","0,8","0,0","0,0","0,0","1,2","15,8","6,4","3,4","0,0","2,8","9,6","20,5","1,4","0,0","0,0","0,2","0,0","0,6","2,1","0,0","1,2","11,4","0,6","0,0","1,0","0,0","10,0","52,3","0,4","1,8","2048,4"
267,São Lourenço da Mata (Tapacurá),jan/2019,"0,0","0,0","0,0","0,0","0,0","0,0","5,8","9,1","13,3","0,0","2,5","0,0","6,5","4,2","0,0","0,0","0,0","2,1","0,0","3,1","1,2","0,0","6,7","0,0","0,0","0,0","0,0","0,0","43,9","0,0","0,0","1292,5"
198,Abreu e Lima,fev/2019,"0,0","6,1","0,0","14,0","6,9","9,5","14,1","0,3","6,1","0,2","1,4","0,2","6,2","30,7","2,4","1,2","3,7","1,1","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,0",-,-,-,"1975,4"
309,Araçoiaba (Granja Cristo Redentor),fev/2019,"0,0","0,0","0,0","5,5","16,4","23,0","2,3","0,0","0,0","0,0","0,0","0,0","18,2","10,7","0,0","0,0","0,0","5,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"1586,2"
301,Cabo,fev/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
490,Cabo (Barragem de Gurjaú),fev/2019,"0,9","0,0","6,8","70,8","18,3","68,0","7,3","0,0","0,5","0,0","0,0","1,6","2,1","6,7","0,0","12,6","8,7","1,7","0,0","0,7","0,0","0,0","0,0","8,8","0,0","0,0","1,2","0,0",-,-,-,"2011,9"
491,Cabo (Barragem de Suape),fev/2019,"0,0","0,0","4,1","15,3","39,5","23,5","7,9","0,0","1,9","0,0","0,0","0,0","1,4","2,2","2,2","3,5","21,9","4,3","3,7","0,0","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"1968,0"
603,Cabo (Pirapama),fev/2019,"0,0","1,3","1,9","42,7","13,5","33,1","3,1","0,0","0,0","0,2","0,2","0,9","4,2","4,8","0,2","17,1","11,5","8,5","6,5","0,0","0,0","0,0","0,0","3,3","0,1","0,0","0,0","0,0",-,-,-,"2229,6"
201,Camaragibe,fev/2019,"1,8","0,0","5,0","0,0","6,9","71,6","9,2","0,0","1,5","0,8","0,0","1,2","1,8","15,3","0,2","17,4","1,5","0,5","1,8","0,0","0,0","2,2","1,2","0,0","0,0","0,0","0,0","0,0",-,-,-,"2040,3"
28,Goiana (Itapirema - IPA),fev/2019,"1,5","0,8","1,2","16,6","4,1","24,6","9,1","0,0","0,0","0,0","1,6","0,2","43,2","16,5","1,3","1,2","21,9","4,1","0,7","0,0","0,0","2,5","0,0","0,0","0,7","0,7","5,0","0,0",-,-,-,"2024,1"
487,Goiana - PCD,fev/2019,"1,6","0,6","0,2","15,2","3,4","23,4","9,6","0,2","0,0","0,2","0,0","0,0","43,6","16,2","0,2","0,4","23,4","4,2","0,8","0,0",-,-,-,-,-,-,-,-,-,-,-,"451,8"
100,Igarassu,fev/2019,"0,0","1,5","0,0","19,0","1,0","12,5","0,6","0,0","0,0","0,4","0,0","0,0","2,6","21,2","1,5","18,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8","0,0","0,0","0,0","0,0",-,-,-,"1992,5"
269,Igarassu (Bar.Catucá),fev/2019,"0,0","0,0","0,0","11,0","8,1","4,6","3,0","0,0","2,2","0,0","0,0","0,0","2,1","0,0","0,0","0,0","4,5","4,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"1646,7"
294,Igarassu (Usina São José),fev/2019,"0,0","0,8","0,0","11,5","12,0","13,5","2,5","0,4","0,0","0,0","0,7","0,0","6,5","22,7","0,0","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7","0,0","0,0",-,-,-,"1690,8"
387,Ipojuca,fev/2019,"0,1","0,0","3,1","20,2","37,0","26,5","8,1","0,0","0,1","0,6","1,0","1,6","1,1","0,7","3,6","19,4","16,7","6,3","7,9","0,6","0,0","1,8","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"2252,2"
602,Ipojuca (Suape) - PCD,fev/2019,"0,2","0,4","0,2","0,2","0,4","0,2","0,6","0,6","0,4","0,0","0,0","0,0","0,2","0,2","0,4","0,2","0,2","13,0","10,6","2,4","2,0","0,2","0,2","0,0","0,0","0,0","0,0","0,0",-,-,-,"1495,6"
524,Itamaracá,fev/2019,"0,0","0,0","1,2","19,0","1,0","8,1","3,8","0,0","0,0","0,0","0,0","0,1","1,6","38,7","0,0","0,0","2,6","0,3","0,9","0,0","0,0","0,0","0,0","0,0","1,0","1,4","0,0","0,0",-,-,-,"1664,7"
520,Itapissuma,fev/2019,"0,0","0,0","1,5","18,9","3,5","12,5","4,2","0,0","0,0","0,0","0,0","0,0","2,6","31,5","2,3","0,0","9,6","2,5","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0",-,-,-,"1583,9"
604,Jaboatão (Cidade da Copa) - PCD,fev/2019,"0,2","2,4","2,6","6,4","17,6","38,2","0,2","0,0","1,0","0,2","1,2","0,4","6,0","9,6","0,8","1,0","10,0","1,8","4,0","0,0","0,0","20,4","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"2206,8"
202,Jaboatão dos Guararapes,fev/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
268,Jaboatão dos Guararapes (Bar.Duas Unas),fev/2019,"0,0","0,0","4,5","6,5","15,5","36,0","22,3","0,0","0,0","0,0","1,6","1,9","2,5","11,0","0,8","0,0","6,8","0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"2155,6"
205,Moreno,fev/2019,"0,0","0,0","4,1","6,2","15,3","36,4","1,0","0,0","0,0","0,8","1,2","1,5","2,4","12,1","0,5","2,0","6,0","0,0","0,5","0,0","0,0","0,0","0,0","0,8","0,0","0,0","0,0","0,0",-,-,-,"1881,7"
199,Olinda,fev/2019,"0,0","0,0","2,3","1,8","4,6","41,9","13,5","0,0","0,0","0,0","0,0","0,0","4,2","40,6","0,0","0,0","0,0","4,5",-,-,-,-,-,-,-,-,-,-,-,-,-,"1908,3"
551,Olinda (Academia Santa Gertrudes),fev/2019,"0,0","0,0","1,8","1,2","5,3","41,0","12,2","0,0","0,0","0,0","0,0","0,3","2,7","37,1","1,4","0,0","0,0","2,7","0,0","0,1","0,4","0,0","0,0","6,5","0,0","0,0","0,0","0,0",-,-,-,"1755,3"
209,Olinda (Alto da Bondade),fev/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
451,Paulista,fev/2019,"0,0","0,0","3,0","14,2","10,1","34,8","0,6","0,0","0,0","0,0","0,0","0,0","11,2","48,5","4,5","0,0","3,9","0,0","3,2","0,0","0,0","0,0","0,2","0,0","0,0","0,4","0,0","0,0",-,-,-,"1883,9"
265,Recife (Alto da Brasileira),fev/2019,"0,0","0,0","3,2","3,4","2,7",-,-,-,-,-,"0,6","2,3","1,7","2,1","0,0","0,8","5,9","13,8","0,5","0,0","0,0","3,8","0,0","0,0","0,4","0,0","0,7","0,0",-,-,-,"1844,1"
196,Recife (Codecipe / Santo Amaro),fev/2019,"0,0","0,3","2,4","1,9","4,0","42,0","3,8","0,0","0,0","0,0","0,0","0,0","5,0","19,8","0,0","0,0","0,0","0,0","0,0","4,6","0,0","6,2","0,0","1,4","0,0","0,0","0,0","1,2",-,-,-,"1875,9"
30,Recife (Várzea),fev/2019,"0,1","3,6","6,2","4,2","13,8","48,0","0,3","0,0","0,0","0,0","0,6","0,0","3,6","13,4","0,7","0,6","8,0","5,8","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,2","0,0","0,0",-,-,-,"2048,4"
267,São Lourenço da Mata (Tapacurá),fev/2019,"0,0","0,0","0,0","0,0","3,5","26,9","3,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,5","2,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"1292,5"
198,Abreu e Lima,mar/2019,"6,8","10,8","0,0","27,0","0,0","0,1","0,0","2,3","0,0","0,0","0,0","3,1","8,3","1,3","1,5","0,0","0,0","43,0","14,5","0,0","0,0","0,0","0,0","0,0","4,5","16,0","12,0","48,5","4,0","5,0","10,9","1975,4"
309,Araçoiaba (Granja Cristo Redentor),mar/2019,"0,0","44,9","24,1","15,1","2,7","1,3","0,0","0,0","0,0","0,0","0,0","0,0","14,5","0,0","0,0","0,0","0,0","0,0","5,9","0,0","0,0","0,0","1,9","3,0","0,0","0,0","42,6","36,5","0,0","27,9","6,3","1586,2"
301,Cabo,mar/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
490,Cabo (Barragem de Gurjaú),mar/2019,"0,0","27,3","0,4","6,5","8,6","7,0","0,0","7,0","0,0","0,0","0,0","0,6","7,7","4,1","1,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,9","0,0","0,5","4,2","12,2","2011,9"
491,Cabo (Barragem de Suape),mar/2019,"0,0","0,0","24,2","0,0","7,1","17,7","0,6","5,7","0,0","0,0","0,0","0,0","1,7","4,9","0,4","0,0","0,0","0,0","13,2","0,0","0,0","0,0","0,0","10,0","0,0","1,1","46,5","6,5","0,7","5,5","53,1","1968,0"
603,Cabo (Pirapama),mar/2019,"0,0","71,3","17,2","3,0","8,0","1,5","1,8","1,7","0,4","0,0","0,0","0,0","2,5","2,5","2,4","0,0","0,0","22,8","0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0","22,2","4,7","4,9","3,4","18,2","2229,6"
