Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2013,"0,0","1,0","25,4","38,5","0,0","0,0","0,0","0,0",-,-,-,-,-,-,"1,4","8,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1939,9"
309,Araçoiaba (Granja Cristo Redentor),jan/2013,-,-,-,-,"0,0","0,0","0,0","0,0","6,2","0,0","0,0","0,0","8,2","4,4","0,0","0,9","0,0","0,0","1,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1401,0"
301,Cabo,jan/2013,"2,2","5,3","0,0","21,0","13,3","0,0","1,2","0,0","0,4","0,0","0,0","2,5","5,8","2,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2329,4"
490,Cabo (Barragem de Gurjaú),jan/2013,"0,0","0,0","1,5","22,5","0,5","0,0","0,0","1,2","3,2","2,3","0,0","2,5","2,3","8,2","0,0","0,5","0,0","0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2226,1"
491,Cabo (Barragem de Suape),jan/2013,"3,0","2,0","1,2","27,4","5,0","0,0","0,0","0,6","6,4","0,0","0,0","0,0","6,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1912,1"
603,Cabo (Pirapama),jan/2013,"0,8","0,4","1,8","18,0","0,3","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1888,8"
201,Camaragibe,jan/2013,"0,0","13,3","26,7","54,0","7,2","0,0","1,0","0,0","2,7","2,7","0,0","0,0","2,6","10,9","0,0","2,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2399,6"
28,Goiana (Itapirema - IPA),jan/2013,"3,5","0,0","5,5","10,2","6,4","0,4","0,4","0,0","0,2","0,6","1,2","0,0","12,8","8,8","18,9","3,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,6","1909,7"
487,Goiana - PCD,jan/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,8","1456,3"
100,Igarassu,jan/2013,"0,0","0,5","9,5","20,4","3,5","0,0","0,0","10,0","5,2","0,5","0,0","0,0","1,5","9,8","11,3","10,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1897,1"
