Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2011,"0,0","2,1","0,1","8,2","0,0","6,1","0,0","0,1","0,1","3,5","0,0","4,5","0,3","0,0","1,0","0,0","0,0","0,0","0,0",-,-,"27,0","39,0","22,6","19,0","0,0","1,0","29,6","0,0","5,8","3,0","1816,8"
301,Cabo,jan/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"136,5"
490,Cabo (Barragem de Gurjaú),jan/2011,"0,5","0,0","0,0","1,2","8,5","2,3","0,0","0,0","0,0","4,1","17,2","25,2","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","49,0","43,0","14,3","11,0","0,0","1,2","0,0","1,0","1,0","3,5","2725,9"
491,Cabo (Barragem de Suape),jan/2011,"0,0","0,0","0,0","2,2","2,0","0,0","0,0","0,0","0,0","28,0","1,4","0,4","0,6","0,0","1,6","0,0","1,2","0,0","0,0","0,0","10,6","10,2","20,4","5,0","72,2","2,4","11,2","0,0","0,0","1,0","4,6","2451,3"
201,Camaragibe,jan/2011,"0,0","0,0","0,0","18,1","7,8","1,8","0,0","0,0","1,3","0,3","5,0","35,9","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,6","27,9","17,0","5,1","11,0","0,0","7,2","12,3","0,9","1,4","6,6","2922,5"
28,Goiana (Itapirema - IPA),jan/2011,"0,0","0,0","0,2","5,0","3,4","1,2","0,6","0,0","0,0","18,4","0,8","6,6","0,0","0,0","0,2","1,0","1,4","0,0","0,0","0,0","0,0","34,6","40,4","17,2","12,4","1,0","4,6","55,6","4,2","2,0","2,8","2663,7"
415,Goiana (Usina Maravilha),jan/2011,"1,0","0,4","1,0","18,3","18,7","0,5","0,0","0,0","0,0","0,0","0,0","16,1","0,0","0,0","0,0","0,0","0,0","0,0","2,0","5,8","1,0","62,3","19,0","12,7","35,5","7,8","0,6","18,0","13,5","3,7","0,0","2385,6"
487,Goiana - PCD,jan/2011,"0,0","0,0","0,3","4,8","3,5","1,0","0,3","0,0","0,0","17,3","0,3","6,5","0,0","1,0","1,5","0,0","0,0","0,0","0,0","0,0","0,0","33,8","41,5","19,3","11,8","1,0","4,5","54,0","0,8","0,8","2,8","2651,8"
100,Igarassu,jan/2011,"0,0","0,0","0,0","19,0","1,3","0,2","1,2","0,0","0,0","0,7","0,0","0,2","0,0","0,0","2,0","0,0","0,0","0,0","0,0",-,-,"18,2","20,2","14,0","36,2","1,2","2,4","37,0","1,0","2,0","12,2","2318,8"
269,Igarassu (Bar.Catucá),jan/2011,"0,0","0,0","0,0","29,4","17,2","0,0","0,0","0,0","0,0","3,8","2,2","4,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,4","13,2","12,4","12,8","0,0","8,0","0,0","0,0","0,0","0,0","1669,6"
