Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2012,"0,0","2,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0","7,0","9,5","0,0","1,5","11,4","0,0","0,0","0,9","0,5","66,5","24,0","38,5","52,0","0,0","0,0","0,0",-,"0,0","0,0","0,0","0,0","1484,5"
301,Cabo,jan/2012,"0,1","0,0","0,0","0,0","0,0","0,0","0,8","0,9","6,1","0,2","0,0","5,1","0,2","0,2","1,5",-,"1,0",-,-,"19,0","30,0",-,-,"10,0","8,2","0,2",-,"0,0","0,0","0,0","20,0","1212,1"
490,Cabo (Barragem de Gurjaú),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","5,7","3,7","0,0","3,5","0,3","2,5","3,0","7,6","0,0","0,0","0,0","6,2","7,5","60,0","38,5","34,2","6,2","0,0","2,0","0,0","3,5","0,0","27,5","1421,4"
491,Cabo (Barragem de Suape),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,6","0,0","1,4","11,4","1,2","0,0","1,8","7,6","0,0","0,0","0,0","13,6","6,8","66,0","44,2","14,0","9,0","0,0","0,3","0,0","2,6","1,2","0,1","1315,9"
603,Cabo (Pirapama),jan/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"988,9"
201,Camaragibe,jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,3","6,9","4,0","13,0","0,2","25,7","0,6","0,0","0,0","3,1","0,0","6,2","13,3","63,4","78,2","25,1","3,2","0,0","19,4","1,9","0,8","0,2","27,8","1611,0"
28,Goiana (Itapirema - IPA),jan/2012,"0,1","0,3","0,0","0,0","0,0","0,0","0,0","4,6","7,5","0,9","8,7","33,0","0,1","4,0","1,0","0,0","0,0","5,7","134,8","16,8","14,4","75,8","24,0","27,8","0,3","0,0","1,4","0,0","0,0","0,0","0,5","1438,4"
415,Goiana (Usina Maravilha),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,6","7,2","0,0","5,6","19,0","0,5","0,0","0,0","0,0","0,0","0,0","23,0","55,8","1,0","22,3","33,8","16,6","0,0","0,0","2,8","0,0","0,0","0,0","0,0","194,9"
487,Goiana - PCD,jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,8","7,5","0,3","8,5","34,8","0,0","0,3","3,8","0,3","0,0","5,3","129,8","19,5","13,8","76,5","25,3","28,8","0,0","0,0","0,5","0,0","0,0","0,0","0,0","1438,6"
100,Igarassu,jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","12,1","0,0","0,0","39,3","0,0","0,0","0,3","0,2",-,"24,6","30,0","57,0","49,0","2,0","0,0","5,3","0,0","0,0","0,0","0,0","1251,7"
269,Igarassu (Bar.Catucá),jan/2012,"0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,8","0,9","0,0","3,6","2,0","0,0","0,0","10,2","0,0","0,0","0,0","9,2","9,4","7,4","18,8","63,6","43,4","0,0","0,0","0,0","0,0","0,0","0,0","9,2","993,4"
294,Igarassu (Usina São José),jan/2012,"0,0","1,3","0,0","0,0","0,0","0,0","0,0","0,0","8,0","0,0","4,2","2,4","0,0","1,0","22,4","0,0","1,6","0,0","2,0","22,5","14,2","20,4","68,8","44,6","0,4","0,0","6,4","0,0","0,0","0,0","22,2","1320,5"
387,Ipojuca,jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,4","1,6","0,0","10,0","1,2","3,2","3,0","3,4","2,6","2,0","0,0","6,0","19,0","43,1","21,3","29,0","8,2","0,0","0,0","0,0","0,0","0,0","0,0","1467,5"
524,Itamaracá,jan/2012,"2,2","1,5","0,0","0,0","0,0","0,0","0,0","1,7","2,3","0,0","0,5","8,3","0,0","0,0","0,0","0,0","0,0","0,0","6,2","17,4","30,5","17,4","100,0","20,0","0,0","0,6","0,6","0,0","0,0","0,0","0,0","1197,1"
