Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2010,"14,8","0,2","2,0","6,2","0,0","0,0","0,0","0,8","4,9","0,1","3,3","0,8","0,0","0,0","0,0","4,6","6,6","22,0","0,0","0,0","0,0","0,0","0,0","6,8","0,0","0,2","0,0","9,0","1,2",-,-,"1113,4"
309,Araçoiaba (Granja Cristo Redentor),jan/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0","0,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
301,Cabo,jan/2010,"4,0","2,0","1,0","1,2","0,0","0,0","0,0","1,0","25,0","2,8","2,7","2,0","3,8","0,0","0,0","0,0","10,0","12,0","0,0","10,0","25,0","0,0","0,0","0,0","0,0","0,0","22,8","0,0","6,0","0,0","12,0","1005,1"
490,Cabo (Barragem de Gurjaú),jan/2010,"0,0","5,1","0,0","0,3","6,0","0,0","0,0","11,2",-,"0,0","0,0","10,5","0,0","0,0","0,0","0,0","9,4","31,2","0,0","15,4","0,9","20,0","0,0","2,0","0,0","0,0","37,0","0,5","44,0","0,0","74,0","3063,9"
491,Cabo (Barragem de Suape),jan/2010,"0,0","18,8","0,0","0,0","0,6","0,0","0,0","4,8",-,"2,8","0,0","0,0","0,0","2,1","0,0","2,6","7,8","13,8","2,4","18,8","7,2","17,6","0,0","2,4","0,0","0,0","0,0","0,0","7,8","0,0","11,0","1748,0"
201,Camaragibe,jan/2010,"0,0","2,7","2,3","3,5","8,0","0,0","0,0","2,4","0,0","7,8","4,0","0,0","0,3","0,4","0,5","3,7","13,1","29,2","0,0","2,1","3,0","0,2","2,3","1,6","0,0","0,6","44,0","0,0","7,0","0,5","11,2","1667,6"
28,Goiana (Itapirema - IPA),jan/2010,"0,0","5,2","16,0","18,6","0,0","0,0","0,0","0,2","0,0","0,2","0,6","0,0","0,0","0,0","0,0","4,2","6,0","36,6","10,0","16,2","0,6","0,4","8,4","12,0","4,6","11,0","17,0","5,2","1,2","2,0","3,2","1584,9"
415,Goiana (Usina Maravilha),jan/2010,"0,0","0,0","16,2","20,9","4,4","0,0","0,0","0,5","6,5","0,0","8,0","2,4","0,0","0,0","0,0","2,1","17,7","20,0","0,0","0,0","6,5","0,0","0,0","5,0","0,0","4,2","0,0","11,1","0,0","13,6","5,7","1077,5"
487,Goiana - PCD,jan/2010,"0,0","6,3","13,5","18,3","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","0,0","0,0","15,5","10,0","12,5","0,5","15,0","2,3","0,5","0,0","4,3","0,0","10,8","16,5","5,0","0,8","1,3","11,5","1383,4"
100,Igarassu,jan/2010,"0,0","8,0","19,0","3,4","0,3","0,0","0,0","0,0","5,3","4,3","10,2","0,0","0,0","0,2","0,0","0,0","12,7","40,3","0,0","0,0","20,4","0,0","0,0","1,0","0,0","0,0","0,3","0,0","5,6",-,-,"1532,7"
269,Igarassu (Bar.Catucá),jan/2010,"3,8","7,6","0,0","1,8","0,0","1,2","0,0","3,4",-,"22,8","2,0","0,4","0,0","0,0","0,0","1,0","4,6","33,0","0,0","0,0","37,4","37,4","0,0","5,2","0,0","0,0","0,6","0,0","5,2","0,0","0,0","1182,8"
294,Igarassu (Usina São José),jan/2010,"2,0","10,5","3,0","5,0","1,0","0,0","0,0","2,0","2,0","30,0","6,0","4,0","0,0","0,0","0,0","0,0","11,0","40,0","0,0","21,0","42,0","0,0","0,0","10,0","1,0","7,0","0,0","0,0","3,0","2,0","0,0","1146,3"
387,Ipojuca,jan/2010,"7,0","10,0","2,0","8,0","10,4","0,0","0,0","6,8","19,6","0,0","1,0","12,3","0,0","0,0","0,0","13,6","13,4","2,9","2,2","46,0","4,8","23,2","2,4","3,2","0,0","18,6","6,7","2,2","9,2","7,4","7,8","2156,9"
524,Itamaracá,jan/2010,"0,0","1,4","1,8","2,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,2","4,6","27,8","4,2","26,1","0,0","0,0","0,5","0,9","1,9","0,0","0,0","0,0","0,0","3,4","0,0","1271,9"
520,Itapissuma,jan/2010,"0,0","6,1","1,9","3,0","0,0","0,0","0,0","0,0","8,5","0,0","8,8","0,0","0,0","0,0","0,0","8,4","6,5","39,6","3,4","28,0","1,5","0,0","0,0","4,6","0,0","5,0","7,9","8,8","1,5","1,4","7,3","1520,0"
202,Jaboatão dos Guararapes,jan/2010,"0,0","0,0","1,1","0,2","0,0","0,0","0,0","0,5","0,0","15,3","8,3","0,9","0,0","0,0","0,0","8,5","4,0","23,9","1,8","3,7","6,8","2,6","1,8","4,7","0,0","0,0","0,0","0,0","8,0","0,0","4,1","1803,4"
268,Jaboatão dos Guararapes (Bar.Duas Unas),jan/2010,"0,0","15,0","0,0","8,0","5,0","0,0","0,0","5,0",-,"7,5","0,0","5,0","0,0","0,0","0,0","2,0","15,0","0,0","0,0","0,0","0,0","3,0","3,0","6,0","0,0","0,0","54,0","12,0","13,0","0,0","3,0","1932,1"
199,Olinda,jan/2010,"0,0","0,0","0,0","1,9","9,5","0,0","0,0","0,0","3,6","0,0","0,0","1,8","0,0","0,0","0,0","0,9","8,7","12,9","0,0","18,2","5,1","16,5","0,0","4,9","0,0","0,1","0,0","0,0","1,6","0,0","0,2","1693,8"
551,Olinda (Academia Santa Gertrudes),jan/2010,"0,0","0,0","1,0","0,9","8,7","0,0","0,0","0,7","0,0","0,0","0,4","3,8","0,7","0,0","0,0","0,0","10,0","10,0","0,0","20,0","11,0","9,4","0,0","3,9","0,0","18,5","0,3","0,0","6,4","0,0","4,9","1560,9"
209,Olinda (Alto da Bondade),jan/2010,"0,0","0,0","0,4","11,9","1,9","0,0","0,0","3,0","0,4","1,7","2,2","5,3","0,0","0,0","0,0","0,0","6,1","18,1","0,0","2,6","1,5","4,6","0,0","6,0","0,0","0,4","1,7","0,0","4,7","0,0","3,4","1708,7"
451,Paulista,jan/2010,"0,0","0,0","9,2","5,2","0,0","0,0","0,0","0,0","0,0","0,0","6,3","0,0","0,0","0,0","0,0","0,0","11,8","20,0","0,0","0,3","0,0","1,1","0,0","2,3","0,0","5,5","7,6","0,0","2,9","0,0","2,5","1565,4"
265,Recife (Alto da Brasileira),jan/2010,"0,0","5,4","0,0","10,8","6,2","3,9","0,0","0,4",-,"22,0","8,0","4,6","0,0","0,0","0,0","2,8","11,4","23,6","0,0","6,4","2,1","3,1","14,0","5,9","0,0","3,6","0,0","0,0","14,4","0,0","1,0","1556,2"
