Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2020,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","1,1","0,0","0,0","0,0","0,4","0,0","0,0","1547,8"
309,Araçoiaba (Granja Cristo Redentor),jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4","0,0","0,0","0,0","2,1","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","1027,6"
301,Cabo,jan/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
490,Cabo (Barragem de Gurjaú),jan/2020,"4,6","0,0","0,0","0,0","0,0","0,0","0,4","1,0","3,3","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9","2,7","0,0","18,9","9,3","0,2","0,0","0,8","0,0","0,0","0,0","0,0","0,5","1696,6"
491,Cabo (Barragem de Suape),jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,7","0,0","0,0","0,8","2,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1551,4"
603,Cabo (Pirapama),jan/2020,"0,0","0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,7","0,0","0,0","1,2","13,2","0,1","0,0","10,0","0,0","0,0","0,0","0,0","0,0","1690,9"
201,Camaragibe,jan/2020,"1,6","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,6","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,5","0,4","0,0","0,0","0,0","0,0","6,2","0,0","0,3","1231,9"
28,Goiana (Itapirema - IPA),jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,0","7,3","1,3","0,0","0,0","0,0","0,0","7,0","0,0","0,0","1268,7"
487,Goiana - PCD,jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","3,4","0,2","0,2","0,0","0,0",-,-,-,-,"1093,2"
100,Igarassu,jan/2020,"0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6","0,0","0,0","0,0","5,4","0,1","0,0","0,3","0,5","0,0","0,0","5,4","0,0","0,5","1782,3"
269,Igarassu (Bar.Catucá),jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1156,1"
294,Igarassu (Usina São José),jan/2020,"1,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,3","0,4","0,9","1278,8"
387,Ipojuca,jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","2,5","0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,0","0,0","0,4","0,5","0,5","0,3","4,9","0,0","0,0","0,0","1,5","0,0","0,3","0,0","0,0","1617,9"
602,Ipojuca (Suape) - PCD,jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,-,"1402,2"
524,Itamaracá,jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,2","0,0","0,1","0,0","0,5","0,0","4,5","0,0","0,0","1546,9"
520,Itapissuma,jan/2020,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,4","0,0","3,9","0,0","0,0","1218,3"
604,Jaboatão (Cidade da Copa) - PCD,jan/2020,"2,6","0,0","0,8","0,0","0,0","0,0","0,0","0,0","2,2","0,0","0,0","0,6","0,0","0,0","0,0","0,0","0,0","0,0","5,8","0,0","0,4","0,6","31,2","0,0","0,0","0,0","0,0",-,-,-,-,"1718,8"
202,Jaboatão dos Guararapes,jan/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
